ODATEDW,OSOURCE,TCODE,STATE,ZIP,MAILCODE,PVASTATE,DOB,NOEXCH,RECINHSE,RECP3,RECPGVG,RECSWEEP,MDMAUD,DOMAIN,CLUSTER,AGE,AGEFLAG,HOMEOWNR,CHILD03,CHILD07,CHILD12,CHILD18,NUMCHLD,INCOME,GENDER,WEALTH1,HIT,MBCRAFT,MBGARDEN,MBBOOKS,MBCOLECT,MAGFAML,MAGFEM,MAGMALE,PUBGARDN,PUBCULIN,PUBHLTH,PUBDOITY,PUBNEWFN,PUBPHOTO,PUBOPP,DATASRCE,MALEMILI,MALEVET,VIETVETS,WWIIVETS,LOCALGOV,STATEGOV,FEDGOV,SOLP3,SOLIH,MAJOR,WEALTH2,GEOCODE,COLLECT1,VETERANS,BIBLE,CATLG,HOMEE,PETS,CDPLAY,STEREO,PCOWNERS,PHOTO,CRAFTS,FISHER,GARDENIN,BOATS,WALKER,KIDSTUFF,CARDS,PLATES,LIFESRC,PEPSTRFL,POP901,POP902,POP903,POP90C1,POP90C2,POP90C3,POP90C4,POP90C5,ETH1,ETH2,ETH3,ETH4,ETH5,ETH6,ETH7,ETH8,ETH9,ETH10,ETH11,ETH12,ETH13,ETH14,ETH15,ETH16,AGE901,AGE902,AGE903,AGE904,AGE905,AGE906,AGE907,CHIL1,CHIL2,CHIL3,AGEC1,AGEC2,AGEC3,AGEC4,AGEC5,AGEC6,AGEC7,CHILC1,CHILC2,CHILC3,CHILC4,CHILC5,HHAGE1,HHAGE2,HHAGE3,HHN1,HHN2,HHN3,HHN4,HHN5,HHN6,MARR1,MARR2,MARR3,MARR4,HHP1,HHP2,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,HV1,HV2,HV3,HV4,HU1,HU2,HU3,HU4,HU5,HHD1,HHD2,HHD3,HHD4,HHD5,HHD6,HHD7,HHD8,HHD9,HHD10,HHD11,HHD12,ETHC1,ETHC2,ETHC3,ETHC4,ETHC5,ETHC6,HVP1,HVP2,HVP3,HVP4,HVP5,HVP6,HUR1,HUR2,RHP1,RHP2,RHP3,RHP4,HUPA1,HUPA2,HUPA3,HUPA4,HUPA5,HUPA6,HUPA7,RP1,RP2,RP3,RP4,MSA,ADI,DMA,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC20,IC21,IC22,IC23,HHAS1,HHAS2,HHAS3,HHAS4,MC1,MC2,MC3,TPE1,TPE2,TPE3,TPE4,TPE5,TPE6,TPE7,TPE8,TPE9,PEC1,PEC2,TPE10,TPE11,TPE12,TPE13,LFC1,LFC2,LFC3,LFC4,LFC5,LFC6,LFC7,LFC8,LFC9,LFC10,OCC1,OCC2,OCC3,OCC4,OCC5,OCC6,OCC7,OCC8,OCC9,OCC10,OCC11,OCC12,OCC13,EIC1,EIC2,EIC3,EIC4,EIC5,EIC6,EIC7,EIC8,EIC9,EIC10,EIC11,EIC12,EIC13,EIC14,EIC15,EIC16,OEDC1,OEDC2,OEDC3,OEDC4,OEDC5,OEDC6,OEDC7,EC1,EC2,EC3,EC4,EC5,EC6,EC7,EC8,SEC1,SEC2,SEC3,SEC4,SEC5,AFC1,AFC2,AFC3,AFC4,AFC5,AFC6,VC1,VC2,VC3,VC4,ANC1,ANC2,ANC3,ANC4,ANC5,ANC6,ANC7,ANC8,ANC9,ANC10,ANC11,ANC12,ANC13,ANC14,ANC15,POBC1,POBC2,LSC1,LSC2,LSC3,LSC4,VOC1,VOC2,VOC3,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,HC9,HC10,HC11,HC12,HC13,HC14,HC15,HC16,HC17,HC18,HC19,HC20,HC21,MHUC1,MHUC2,AC1,AC2,ADATE_2,ADATE_3,ADATE_4,ADATE_5,ADATE_6,ADATE_7,ADATE_8,ADATE_9,ADATE_10,ADATE_11,ADATE_12,ADATE_13,ADATE_14,ADATE_15,ADATE_16,ADATE_17,ADATE_18,ADATE_19,ADATE_20,ADATE_21,ADATE_22,ADATE_23,ADATE_24,RFA_2,RFA_3,RFA_4,RFA_5,RFA_6,RFA_7,RFA_8,RFA_9,RFA_10,RFA_11,RFA_12,RFA_13,RFA_14,RFA_15,RFA_16,RFA_17,RFA_18,RFA_19,RFA_20,RFA_21,RFA_22,RFA_23,RFA_24,CARDPROM,MAXADATE,NUMPROM,CARDPM12,NUMPRM12,RDATE_3,RDATE_4,RDATE_5,RDATE_6,RDATE_7,RDATE_8,RDATE_9,RDATE_10,RDATE_11,RDATE_12,RDATE_13,RDATE_14,RDATE_15,RDATE_16,RDATE_17,RDATE_18,RDATE_19,RDATE_20,RDATE_21,RDATE_22,RDATE_23,RDATE_24,RAMNT_3,RAMNT_4,RAMNT_5,RAMNT_6,RAMNT_7,RAMNT_8,RAMNT_9,RAMNT_10,RAMNT_11,RAMNT_12,RAMNT_13,RAMNT_14,RAMNT_15,RAMNT_16,RAMNT_17,RAMNT_18,RAMNT_19,RAMNT_20,RAMNT_21,RAMNT_22,RAMNT_23,RAMNT_24,RAMNTALL,NGIFTALL,CARDGIFT,MINRAMNT,MINRDATE,MAXRAMNT,MAXRDATE,LASTGIFT,LASTDATE,FISTDATE,NEXTDATE,TIMELAG,AVGGIFT,CONTROLN,TARGET_B,TARGET_D,HPHONE_D,RFA_2R,RFA_2F,RFA_2A,MDMAUD_R,MDMAUD_F,MDMAUD_A,CLUSTER2,GEOCODE2
8601,OMH,1,CA,92056, , ,1411,0,X, , , ,XXXX,C1,24,83,E,H, , , , ,,4,M,6,24,0,0,2,1,1,2,0,0,1,0,0,2,0,0,3,3,37,22,53,6,3,4, ,12, ,6,12, , , , , , , , , , , , , , , , , , , ,X,10906,3167,3958,99,0,0,51,49,89,3,1,5,14,0,1,1,1,0,0,0,12,0,0,2,32,39,43,36,45,48,24,48,36,16,12,27,19,8,10,18,6,22,18,31,17,12,32,6,29,14,46,39,23,8,2,69,9,4,18,177,259,81,48,1,18,17,15,6,0,6,2449,2522,7,7,75,25,94,6,15,35,80,71,28,83,17,6,1,5,9,13,6,17,49,23,1,2,0,75,94,97,99,99,22,2,49,55,57,14,4,10,8,0,8,2,15,0,96,96,97,98,7320,15,825,464,472,518,519,19318,5,10,14,27,29,10,3,2,0,5,9,14,25,31,12,3,1,0,34,4,62,6,88,12,27,79,11,4,3,0,0,0,2,3,1,9,23,30,10,67,61,71,52,63,49,67,50,94,99,2,16,19,4,15,14,0,1,8,3,10,5,3,2,2,0,8,16,2,4,5,18,11,5,3,2,7,6,6,5,6,3,4,6,77,3,0,140,3,6,19,31,7,22,12,3,23,1,17,8,2,3,0,20,37,3,22,14,53,17,0,6,1,9,0,0,3,3,1,1,0,2,1,1,0,11,37,83,11,3,3,98,68,14,2,4,13,75,93,99,99,0,25,3,86,1,12,0,0,0,99,0,99,99,99,14,4,5,7,9706,9606,9604,9604,9603,9602,9601,,,9510,9508,9507,9506,9504,9503,9502,9501,9411,,,9409,9407,9406,L2E,S2E,S2E,S2E,A1E,A1E,A1E, , ,S2E,S2E,S3E,S3E,S3E,S4E,S4E,S4E,S4E, , ,S3D,S3D,S3D,32,9702,86,5,14,,,,,,9602,,,,9509,,,,,,,,,,9409,9408,9407,,,,,,12,,,,10,,,,,,,,,,9,11,10,158,21,15,3,8802,12,9602,12,9602,8610,8802,16,7.5238095238,11208,0,0,1,L,2,E,X,X,X,4,A
9601,CRG,0,FL,34761-, , ,0,0, , , , ,XXXX,R2,49,, , , , , , ,,,F,,0,,,,,,,,,,,,,,, ,0,38,37,26,4,0,0, , , ,, , , , , , , , , , , , , , , , , , , , , ,17427,4580,5849,96,0,4,49,51,87,8,0,1,9,1,0,0,0,0,0,0,4,3,0,2,29,37,40,31,41,44,30,40,39,21,15,29,21,14,10,7,4,16,17,32,21,14,17,5,14,15,30,55,34,14,6,60,12,5,23,223,296,82,80,1,10,9,7,0,0,0,676,760,4,4,74,26,94,6,8,46,78,63,36,87,13,10,2,8,12,15,6,22,56,10,2,5,1,2,4,12,38,83,1,5,50,54,54,16,5,5,5,8,13,2,7,3,19,56,82,92,5960,329,534,305,334,354,387,12255,16,21,23,20,15,4,1,0,1,10,18,25,23,18,4,1,0,1,20,4,27,9,52,48,18,79,16,1,0,0,0,0,3,1,1,8,27,28,3,78,73,84,63,81,59,62,48,79,99,5,9,10,2,11,17,0,2,14,3,16,5,5,5,3,0,12,11,4,3,7,17,4,4,6,10,4,6,4,3,8,1,2,5,81,3,0,120,11,19,35,18,6,8,3,3,24,2,20,5,0,0,0,14,28,1,38,18,20,18,0,6,1,6,0,0,6,3,0,1,0,0,1,0,0,7,36,89,8,1,2,95,61,20,5,14,5,23,41,70,83,17,0,1,5,10,78,4,0,1,86,14,47,99,93,9,3,5,5,9706,,,,9603,,9512,,,,9508,,,,,,,,,,,,,L2G, , , ,N2G, ,F1G, , , ,P1G, , , , , , , , , , , , ,3,9702,8,1,5,,,,,,,,,,9510,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,65,2,2,25,9510,40,9510,40,9510,9510,9510,0,32.5,187266,0,0,0,L,2,G,X,X,X,25,B
9501,L04,28,FL,32174, , ,4001,0, , , , ,XXXX,T2,40,58,E,U, , , , ,,3,F,,0,,,,,,,,,,,,,,,2,0,38,29,29,9,1,1, , , ,, , , , ,Y, , ,Y, , , , , , , ,Y, , , ,2, ,1800,549,716,70,0,30,48,52,98,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,39,45,47,39,48,50,22,38,40,22,8,16,24,17,14,14,7,14,18,34,19,15,27,7,24,17,45,38,20,8,1,68,10,5,16,173,251,84,73,0,5,4,3,0,0,0,1073,1168,5,4,85,15,93,7,29,30,77,68,26,87,13,4,1,4,12,15,6,17,59,21,0,1,0,7,25,54,70,95,1,6,49,55,55,14,4,4,1,11,10,1,2,2,40,53,61,85,2020,329,534,377,407,411,456,15296,12,21,17,22,18,5,4,1,1,8,13,19,28,19,6,5,1,0,24,5,46,8,40,60,16,85,10,0,0,0,0,0,3,2,0,7,18,19,0,64,66,72,61,72,59,55,40,58,0,8,11,19,3,15,16,1,3,10,1,13,5,1,2,0,0,8,17,3,5,5,27,7,1,3,2,9,5,4,3,9,1,1,5,78,6,0,124,5,13,30,23,12,15,2,5,18,3,15,4,0,0,0,19,38,1,29,29,29,3,1,7,1,9,1,0,6,5,0,2,0,0,1,1,0,4,27,96,1,0,3,97,71,25,6,14,3,22,42,79,85,15,6,1,0,7,81,8,0,2,20,80,13,99,98,8,2,8,8,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9509,9507,9506,,9503,9501,9412,,,,,,,L2F,A2F,A2F,A2F,N3F,N2F,N2F,N1E,N1E,N1E,N1E,F1E,F1E, ,F1E,P1E,P1E, , , , , , ,11,9702,25,6,12,,,,,,,,,9511,,9508,,,,,9501,,,,,,,,,,,,,,,10,,15,,,,,10,,,,,,,35,3,2,10,9511,15,9508,10,9511,9501,9508,7,11.666666667,32523,1,10,0,L,2,F,X,X,X,17,B
8601,MBC,28,MN,55411, , ,3607,0, , , , ,XXXX,U3,08,61,E,H, , , , ,,5,F,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,17,12,17,4,2, , , ,2, , , , , , , , , , , , , , , , , , , , ,X,880,207,286,99,0,0,47,53,17,80,1,0,1,0,0,0,0,0,0,0,1,0,0,0,27,38,42,30,42,45,35,44,38,19,15,26,20,15,13,8,3,15,19,35,17,14,16,2,14,19,26,55,38,20,9,39,20,6,36,229,306,76,74,14,23,10,7,0,0,0,564,617,4,3,68,32,88,12,3,50,72,38,21,84,16,29,5,24,15,19,8,3,11,3,27,46,8,0,1,7,23,61,0,2,58,56,58,16,5,16,7,0,15,10,7,0,16,44,70,83,5120,107,613,299,273,330,301,10770,26,14,22,22,9,6,0,0,0,27,19,21,20,9,4,0,0,0,19,25,10,20,28,72,8,56,19,17,17,0,0,0,5,3,0,14,18,20,3,65,73,80,65,69,60,66,27,28,99,44,11,13,4,7,10,0,6,18,0,9,7,6,7,0,0,2,18,6,2,5,14,5,7,4,0,20,6,5,7,17,4,2,6,67,4,0,120,6,22,34,24,4,6,3,2,28,1,26,3,0,0,0,14,27,0,17,22,12,30,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,51,99,1,0,0,90,44,7,12,51,4,8,14,14,14,86,0,0,92,0,8,0,0,0,99,0,99,99,89,6,4,9,5,9706,9606,9604,,9603,,,9511,,9510,9508,,9506,,9504,9502,9501,9411,9411,9410,9409,,,L1F,A1F,A1F, ,L1E, , ,L1E, ,L1E,L1E, ,A1E, ,A1E,A1E,A1E,A1E,A1E,A1E,A1E, , ,24,9702,60,4,11,,,,,,,9512,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,80,11,5,3,8708,15,9512,15,9512,8704,8708,4,7.2727272727,83619,0,0,1,L,1,F,X,X,X,30,A
9501,SGI,1,LA,70122, , ,2701,0, , , , ,XXXX,U3,08,71,E,U, , , , ,,2,M,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,26,17,21,10,11,9, , , ,, , ,Y, , , , , , , , , , , , , , , , ,1, ,1078,268,381,99,0,0,48,52,17,81,0,0,3,0,0,0,0,0,0,0,1,0,0,2,30,38,42,33,43,46,28,37,39,24,15,25,23,12,10,9,6,16,13,32,24,15,24,11,22,26,25,49,30,15,8,43,17,9,32,196,280,77,54,22,22,0,0,0,0,0,560,563,3,3,57,43,89,11,0,43,70,44,22,87,13,21,3,18,14,21,4,1,8,8,22,53,6,0,0,1,8,72,0,1,33,47,49,15,5,22,0,0,23,19,0,0,3,11,65,84,5560,245,622,217,244,265,277,9046,41,17,12,14,12,2,2,0,0,35,16,13,18,15,3,0,0,0,24,16,21,27,49,51,8,59,25,13,11,0,2,0,3,0,0,11,22,24,0,88,72,73,72,59,63,70,36,80,99,11,11,4,4,7,21,0,5,23,0,7,2,9,7,0,0,1,5,16,4,4,13,7,6,6,0,11,5,10,12,10,11,9,2,60,8,0,120,4,24,25,32,3,7,4,6,24,0,22,8,1,2,0,13,26,2,17,45,21,18,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,2,83,96,3,0,1,82,45,16,4,35,0,0,0,11,15,85,0,0,73,0,27,0,0,0,99,0,96,99,92,6,2,11,4,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9509,9507,9506,,9503,9502,9501,9409,,,,,,L3E,A3E,A3E,A3E,A3E,N4E,N4E,N3E,N3E,N3E,N3E,N3E,N2D, ,N2D,F1D,F1D,P1D, , , , , ,10,9702,27,5,11,,,,,,,,,,9510,9510,,,9504,,,9410,,,,,,,,,,,,,,,6,6,,,10,,,5,,,,,,32,5,2,5,9411,10,9504,6,9510,9410,9411,1,6.4,108412,0,0,1,L,3,E,X,X,X,47,B
9601,L02,28,KS,67218, , ,4401,0, , , , ,XXXX,C3,31,54,E,H, , , , ,,3,F,,0,,,,,,,,,,,,,,,2,0,32,27,22,5,2,2, , , ,, , , ,Y, , , , , , , ,Y, , , ,Y, , , ,3, ,24136,6326,10793,99,0,0,47,53,86,8,1,3,4,0,0,0,0,0,1,0,3,0,0,1,33,40,45,37,46,50,23,50,33,16,13,25,17,10,10,13,11,23,20,29,16,12,29,14,28,36,33,31,16,6,2,51,15,10,25,141,219,60,56,11,39,28,15,2,2,0,549,608,3,3,55,45,92,8,1,29,59,43,18,75,25,10,2,8,18,28,5,16,48,22,3,5,0,1,2,7,18,62,0,6,34,49,49,12,4,29,10,0,13,20,12,0,7,17,36,79,9040,307,678,259,322,307,366,14169,27,21,19,18,11,3,1,0,1,18,19,18,22,15,5,1,0,1,31,7,44,14,51,49,13,83,10,2,2,0,0,0,3,3,1,1,15,17,2,54,65,75,57,72,53,67,44,67,88,11,16,11,4,13,19,0,1,12,0,13,6,2,2,0,1,4,24,3,2,4,20,6,4,4,2,10,6,8,3,4,3,3,6,76,7,0,125,4,11,32,24,5,16,8,4,20,2,14,7,1,2,0,16,34,1,27,15,43,14,1,6,1,14,0,0,5,0,0,0,0,0,1,1,0,4,61,94,2,2,2,91,46,12,5,39,0,1,2,3,6,94,3,1,88,1,11,0,0,0,99,0,99,99,94,10,2,5,6,9706,9606,9604,,9603,9601,9512,,,,,,,,,,,,,,,,,L1G,F1G,F1G, ,F1G,P1G,P1G, , , , , , , , , , , , , , , , ,6,9702,14,4,10,,,,,,9601,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,25,1,1,25,9601,25,9601,25,9601,9601,,,25,105933,0,0,0,L,1,G,X,X,X,33,B
9401,UBA,0,FL,34748, , ,2503,0, , , , ,XXXX,T2,37,73,E,H, , , , ,,2,F,,0,,,,,,,,,,,,,,,2,0,49,9,66,8,4,2, , , ,1, , , , , , , ,Y, , , , , , , , , , , ,2,X,1084,349,575,0,98,2,43,57,99,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,64,66,66,56,62,63,10,47,34,19,4,8,8,10,16,27,28,15,21,32,18,14,67,31,65,37,49,14,7,3,1,63,8,20,9,126,188,42,41,1,2,1,0,0,0,0,564,621,3,3,90,10,84,16,61,10,61,53,7,77,23,3,1,2,9,35,2,8,32,58,0,0,0,1,1,4,15,68,0,2,30,47,50,11,3,2,0,56,7,1,0,2,7,19,54,74,5960,329,534,183,224,229,296,12304,36,35,10,8,10,0,0,0,0,12,45,14,12,16,0,0,0,0,66,3,55,4,39,61,13,86,7,0,0,0,0,0,4,3,0,5,10,13,0,29,40,51,33,51,32,87,95,0,0,5,16,11,3,17,10,2,0,3,7,12,7,8,5,7,0,4,12,3,4,4,24,5,4,4,0,5,12,8,4,8,4,2,9,67,10,0,120,4,23,36,20,4,9,3,1,8,0,8,1,0,0,0,21,49,2,9,4,66,4,0,11,2,11,0,0,7,0,2,0,0,0,3,3,0,3,26,98,0,0,2,88,34,8,8,18,2,8,22,60,80,20,0,0,49,4,44,3,0,0,93,7,93,99,97,6,2,5,7,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9508,9507,9506,9504,9503,9502,9412,9411,9411,9410,9408,9407,9406,L1F,A1F,A1F,A1F,A1F,S2F,S2F,S2F,S2F,S2F,S2F,S2F,S2F,S2F,S3F,N2E,N2E,N2E,N2E,N2E,N2E,N2E,N2E,17,9702,41,6,15,,,,,,,9512,,,,,,,,,,9412,,9410,,,,,,,,,,15,,,,,,,,,,20,,10,,,,61,5,2,5,9311,20,9412,15,9512,9311,9402,3,12.2,46091,0,0,0,L,1,F,X,X,X,52,C
9001,ASH,0,IL,60646, , ,1201,0, , , , ,XXXX,S1,13,86,E,H, , , , ,,5,F,8,0,,,,,,,,,,,,,,,3,0,33,14,70,16,1,1, , , ,8, , , , , , ,Y, , , , , , ,Y, , , , , ,3,X,977,284,368,99,0,0,48,52,97,0,0,3,2,0,0,1,1,1,0,0,0,0,1,1,42,49,53,42,50,53,19,36,38,26,10,16,16,15,15,18,11,12,15,31,20,22,43,13,38,21,36,43,28,9,5,61,6,9,24,180,265,90,90,2,8,6,3,0,0,0,1562,1683,5,6,93,7,98,2,0,26,77,67,23,90,10,3,0,3,10,20,1,14,53,30,0,0,0,24,55,91,99,99,2,2,61,57,59,14,4,8,0,0,2,4,0,0,75,96,96,99,1600,51,602,463,548,551,607,19893,15,4,14,22,17,18,6,2,1,6,6,8,26,22,24,6,3,0,51,0,60,1,20,80,0,56,20,19,2,17,0,0,2,3,2,9,25,27,3,68,59,67,53,67,52,80,63,99,99,0,14,14,3,17,16,0,13,7,0,9,4,0,2,0,0,1,13,0,2,7,18,15,1,4,0,4,9,14,13,16,1,1,12,56,14,0,120,9,12,32,25,2,15,6,14,11,1,17,7,0,0,0,14,33,1,14,11,70,0,0,0,0,14,4,1,21,8,1,15,0,1,0,2,1,19,75,78,6,0,17,98,49,12,15,37,0,0,1,2,5,95,2,0,96,3,2,0,0,0,99,0,99,99,99,11,4,11,8,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9509,,,,9503,9502,9501,9411,9411,9410,9409,9407,9406,L3E,S3E,S3E,S2E,S2E,A1E,A1E,A1E,A1E,A1E,A1E, , , ,A1E,A1E,A1E,A1E,A1E,A1E,A1E,A1E,A1E,23,9702,65,6,13,,,,,9602,,,9511,,,,,,9504,,,,,,,,,,,,,10,,,5,,,,,,10,,,,,,,,,146,13,7,5,9511,20,9202,10,9602,9003,9012,9,11.230769231,94470,0,0,0,L,3,E,X,X,X,7,A
8601,DRK,2,AZ,85284, , ,5901,0, , , , ,XXXX,S1,14,39,I,H, , , , ,,7,F,,0,,,,,,,,,,,,,,,2,0,36,58,12,8,3,0, , , ,9,03, , , , , , , , , , , , , , , , , , , ,X,965,263,285,99,0,0,48,52,91,1,0,7,6,1,0,5,0,0,0,0,5,0,1,1,32,39,40,29,40,42,34,43,35,22,11,18,44,19,5,3,1,15,19,33,18,15,6,1,4,6,23,72,50,18,4,75,3,1,21,301,339,99,99,0,0,0,0,0,0,0,1793,1847,9,8,97,3,97,3,11,63,92,89,61,96,4,2,0,2,5,4,2,25,63,3,0,1,0,28,82,99,99,99,2,0,94,75,77,20,4,0,0,0,3,0,0,0,75,75,75,75,6200,275,753,690,692,776,764,27365,0,0,0,14,45,20,12,4,4,0,0,0,15,43,22,15,3,2,12,2,59,1,79,21,26,86,8,0,0,0,0,0,3,3,3,3,20,23,2,60,69,86,54,85,53,54,47,99,0,3,39,22,2,13,9,1,1,7,0,5,0,0,0,0,0,0,28,6,4,0,13,9,4,3,4,9,11,8,0,8,3,0,9,70,9,1,153,0,4,14,26,9,31,15,5,35,3,27,9,0,0,0,16,36,0,58,20,12,0,3,7,1,12,0,0,6,4,1,3,0,0,0,0,0,5,35,90,4,3,4,99,98,37,3,5,6,70,94,99,99,0,0,0,0,0,99,0,0,0,99,0,99,99,99,16,4,7,3,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9508,9507,9506,9504,9503,9502,9501,9411,9411,9410,9409,9407,9406,L1F,A1F,A1F,A1F,A1F,S2F,S2F,S2F,S2F,S2F,S2F,S2F,S2F,S2F,S3F,S2F,S2F,S2F,S2F,S2F,S2F,S2F,S2F,32,9702,74,6,13,,,,,,,,,,9510,,,,,,,,9412,,,,,,,,,,,,,,21,,,,,,,,20,,,,,204,14,9,5,8707,21,9510,21,9510,8707,8802,7,14.571428571,136791,0,0,0,L,1,F,X,X,X,7,A
9401,COK,28,IL,60463, , ,1801,0,X, , , ,XXXX,S1,13,80,E,H, , , , ,,7,F,,0,,,,,,,,,,,,,,,2,0,41,24,32,11,8,0, ,12, ,,05, , , ,Y, , , , , , , , , , , , , , ,3, ,1144,314,398,99,0,0,44,56,98,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,46,52,55,45,52,56,17,36,38,26,10,11,15,17,18,14,15,14,15,34,19,18,30,8,27,18,40,42,21,9,3,58,6,15,22,180,258,83,54,0,16,16,4,10,10,0,1801,1831,9,6,96,4,94,6,0,26,79,68,23,81,19,3,1,2,9,21,3,13,53,32,0,0,0,33,74,93,99,99,3,0,83,64,67,14,4,16,0,0,2,1,0,0,60,67,73,73,1600,51,602,573,719,685,807,28249,3,5,12,23,22,14,11,2,10,0,0,11,12,29,18,14,2,13,21,2,77,1,30,70,4,87,4,7,1,6,0,0,1,1,5,14,24,32,13,58,68,80,59,77,57,73,68,99,99,0,24,17,6,15,19,1,2,6,0,5,3,0,1,0,0,4,16,3,1,1,12,13,3,2,1,20,13,6,5,11,8,0,9,61,11,1,144,6,5,15,25,8,21,19,10,18,3,16,9,0,0,0,18,41,1,24,25,32,0,3,1,0,8,1,0,15,3,0,6,0,0,2,1,0,11,76,89,1,2,8,99,70,21,9,20,2,5,11,54,84,16,25,0,98,0,2,0,0,0,80,20,91,97,99,10,4,15,7,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9509,9507,9506,9504,9504,9502,9412,9411,9411,9410,9409,9407,,L1G,A1G, ,A1G,A1G,A1F,A1F,A1F,A1F,A1F,A1F,A1F,N2F,N2F,N2F,N1F,N1F,F1F,F1F,F1F,F1F,F1F, ,16,9702,48,7,27,,,,,,,,9511,,,,,,,,,9412,,,,,,,,,,,,,37,,,,,,,,,22,,,,,,94,4,0,15,9604,37,9511,15,9604,9404,9412,8,23.5,3710,0,0,0,L,1,G,X,X,X,4,A
9401,ESN,2,IL,61554, , ,5001,0, , , , ,XXXX,C3,30,48,E,H, , , , ,2,4,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,44,26,8,0,0, , , ,, , ,Y, , , ,Y, , , , ,Y,Y, , , , , , ,2, ,925,248,364,99,0,0,46,54,99,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,29,39,44,34,44,49,29,40,39,20,15,24,19,11,11,9,10,14,17,34,20,15,27,15,26,27,29,44,23,9,3,53,14,10,23,180,253,83,81,6,16,10,2,0,0,0,322,327,2,2,62,38,93,7,0,41,68,50,28,84,16,13,1,12,13,24,5,25,57,18,0,0,0,0,0,0,0,10,0,2,40,51,53,14,4,16,0,0,23,13,2,0,1,3,11,64,6120,175,675,196,231,215,239,8341,34,30,14,20,1,0,0,0,0,26,32,15,25,2,0,0,0,0,29,12,38,22,49,51,8,80,12,0,0,0,0,0,6,2,0,32,18,21,1,61,59,71,50,63,46,54,34,66,0,12,13,7,3,7,14,0,1,23,0,13,11,3,4,0,0,0,28,6,0,0,29,4,5,3,2,12,8,2,1,8,0,0,6,83,3,0,120,10,18,38,24,5,3,2,4,24,1,25,2,0,0,0,12,27,0,44,19,26,12,3,8,0,14,0,0,5,1,0,0,1,1,0,0,0,1,80,99,0,1,0,86,43,9,5,51,0,0,0,0,0,99,0,0,95,0,5,0,0,0,99,0,99,99,94,5,2,5,8,9706,9606,9604,9604,9603,,9601,9511,9510,9510,9509,9507,9506,,9503,9502,9412,9411,9411,9410,9409,,9406,L1G,A1G,A1G,A1G,A2G, ,A2E,A2E,A2E,A2E,A2E,A2E,A2E, ,N2E,N1D,N1D,N1D,F1D,F1D,F1D, ,F1D,13,9702,30,5,10,,,,,,,,,,9512,,,,,9502,,9412,,,,,,,,,,,,,,,30,,,,,5,,10,,,,,,50,4,2,5,9502,30,9512,30,9512,9401,9412,11,12.5,96469,0,0,1,L,1,G,X,X,X,50,B
